GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022400995,2,12,0,1,10:14 PM,12:00,,Start of 1st Period (10:14 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022400995,4,10,0,1,10:14 PM,12:00,Jump Ball Clingan vs. Sarr: Tip to Avdija,,,,,4,1642270,Donovan Clingan,1610612757.0,Portland,Trail Blazers,POR,5,1642259,Alex Sarr,1610612764.0,Washington,Wizards,WAS,4,1630166,Deni Avdija,1610612757.0,Portland,Trail Blazers,POR,1
0022400995,7,2,44,1,10:14 PM,11:36,MISS Clingan 3' Reverse Layup,,,,,4,1642270,Donovan Clingan,1610612757.0,Portland,Trail Blazers,POR,0,0,,,,,,0,0,,,,,,1
0022400995,8,4,0,1,10:14 PM,11:33,,,Middleton REBOUND (Off:0 Def:1),,,5,203114,Khris Middleton,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400995,9,1,86,1,10:14 PM,11:25,,,Middleton 12' Turnaround Fadeaway (2 PTS),2 - 0,-2,5,203114,Khris Middleton,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400995,10,1,79,1,10:15 PM,11:10,Simons 26' 3PT Pullup Jump Shot (3 PTS),,,2 - 3,1,4,1629014,Anfernee Simons,1610612757.0,Portland,Trail Blazers,POR,0,0,,,,,,0,0,,,,,,1
0022400995,11,2,47,1,10:15 PM,10:55,,,MISS Johnson 8' Turnaround Jump Shot,,,5,1642358,AJ Johnson,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400995,12,4,0,1,10:15 PM,10:54,,,Wizards Rebound,,,3,1610612764,,,,,,0,0,,,,,,0,0,,,,,,0
0022400995,14,1,63,1,10:15 PM,10:51,,,Middleton 14' Fadeaway Jumper (4 PTS) (Poole 1 AST),4 - 3,-1,5,203114,Khris Middleton,1610612764.0,Washington,Wizards,WAS,5,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,1
0022400995,16,1,73,1,10:15 PM,10:37,Avdija 1' Driving Reverse Layup (2 PTS),,,4 - 5,1,4,1630166,Deni Avdija,1610612757.0,Portland,Trail Blazers,POR,0,0,,,,,,0,0,,,,,,1
