GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022400712,2,12,0,1,7:11 PM,12:00,,Start of 1st Period (7:11 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022400712,4,10,0,1,7:11 PM,12:00,Jump Ball Embiid vs. Gafford: Tip to Exum,,,,,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,5,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,1
0022400712,7,1,75,1,7:11 PM,11:47,,,Exum 2' Driving Finger Roll Layup (2 PTS),2 - 0,-2,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,9,2,63,1,7:12 PM,11:21,MISS Maxey 16' Fadeaway Jumper,,,,,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,10,4,0,1,7:12 PM,11:17,,,Thompson REBOUND (Off:0 Def:1),,,5,202691,Klay Thompson,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,11,2,101,1,7:12 PM,10:58,,,MISS Irving 8' Driving Floating Jump Shot,,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,12,4,0,1,7:12 PM,10:56,,,Irving REBOUND (Off:1 Def:0),,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,13,2,1,1,7:12 PM,10:53,,,MISS Thompson 24' 3PT Jump Shot,,,5,202691,Klay Thompson,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,14,4,0,1,7:12 PM,10:46,Yabusele REBOUND (Off:0 Def:1),,,,,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,16,7,5,1,7:13 PM,10:37,,,Irving Violation:Kicked Ball (N.Buchert),,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,0
0022400712,17,1,86,1,7:13 PM,10:26,Embiid 10' Turnaround Fadeaway (2 PTS) (Maxey 1 AST),,,2 - 2,TIE,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,19,1,101,1,7:13 PM,10:04,,,Irving 8' Driving Floating Jump Shot (2 PTS),4 - 2,-2,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,20,2,73,1,7:14 PM,9:42,MISS Edwards 1' Driving Reverse Layup,,,,,4,1642348,Justin Edwards,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,21,4,0,1,7:14 PM,9:40,,,Edwards REBOUND (Off:0 Def:1),,,5,1630556,Kessler Edwards,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,22,1,101,1,7:14 PM,9:34,,,Exum 6' Driving Floating Jump Shot (4 PTS),6 - 2,-4,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,23,1,75,1,7:14 PM,9:19,Embiid 1' Driving Finger Roll Layup (4 PTS) (Maxey 2 AST),,,6 - 4,-2,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,25,5,1,1,7:15 PM,8:57,Oubre Jr. STEAL (1 STL),,Thompson Bad Pass Turnover (P1.T1),,,5,202691,Klay Thompson,1610612742.0,Dallas,Mavericks,DAL,4,1626162,Kelly Oubre Jr.,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,27,2,41,1,7:15 PM,8:54,MISS Oubre Jr. 2' Running Layup,,Edwards BLOCK (1 BLK),,,4,1626162,Kelly Oubre Jr.,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,5,1630556,Kessler Edwards,1610612742.0,Dallas,Mavericks,DAL,1
0022400712,29,4,0,1,7:15 PM,8:51,,,Irving REBOUND (Off:1 Def:1),,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,30,2,101,1,7:15 PM,8:44,,,MISS Exum 5' Driving Floating Jump Shot,,,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,31,4,0,1,7:15 PM,8:42,Yabusele REBOUND (Off:0 Def:2),,,,,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,32,1,102,1,7:15 PM,8:38,Yabusele 3' Driving Floating Bank Jump Shot (2 PTS) (Edwards 1 AST),,,6 - 6,TIE,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,4,1642348,Justin Edwards,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,34,6,2,1,7:15 PM,8:38,,,Exum S.FOUL (P1.T1) (N.Buchert),,,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,1,0,,,,,,1
0022400712,36,3,10,1,7:15 PM,8:38,Yabusele Free Throw 1 of 1 (3 PTS),,,6 - 7,1,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,37,6,2,1,7:16 PM,8:27,Edwards S.FOUL (P1.T1) (N.Buchert),,,,,4,1642348,Justin Edwards,1610612755.0,Philadelphia,76ers,PHI,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1
0022400712,39,3,11,1,7:16 PM,8:27,,,Exum Free Throw 1 of 2 (5 PTS),7 - 7,TIE,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,40,3,12,1,7:16 PM,8:27,,,Exum Free Throw 2 of 2 (6 PTS),8 - 7,-1,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,41,1,79,1,7:17 PM,8:18,Embiid 15' Pullup Jump Shot (6 PTS) (Maxey 3 AST),,,8 - 9,1,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,43,6,2,1,7:17 PM,8:18,,,Gafford S.FOUL (P1.T2) (M.Boland),,,5,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,1,0,,,,,,1
0022400712,45,3,10,1,7:17 PM,8:18,Embiid Free Throw 1 of 1 (7 PTS),,,8 - 10,2,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,46,2,1,1,7:17 PM,8:05,,,MISS Thompson 27' 3PT Jump Shot,,,5,202691,Klay Thompson,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,47,4,0,1,7:17 PM,8:03,Yabusele REBOUND (Off:0 Def:3),,,,,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,48,2,1,1,7:18 PM,7:50,MISS Edwards 26' 3PT Jump Shot,,,,,4,1642348,Justin Edwards,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,49,4,0,1,7:18 PM,7:48,,,Exum REBOUND (Off:0 Def:1),,,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,50,5,15,1,7:18 PM,7:43,,,Gafford Offensive Goaltending Turnover (P1.T2),,,5,1629655,Daniel Gafford,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,1
0022400712,51,1,102,1,7:18 PM,7:32,Maxey 3' Driving Floating Bank Jump Shot (2 PTS) (Oubre Jr. 1 AST),,,8 - 12,4,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,4,1626162,Kelly Oubre Jr.,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,53,6,2,1,7:18 PM,7:17,Oubre Jr. S.FOUL (P1.T2) (M.Boland),,,,,4,1626162,Kelly Oubre Jr.,1610612755.0,Philadelphia,76ers,PHI,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1
0022400712,55,3,11,1,7:19 PM,7:17,,,MISS Irving Free Throw 1 of 2,,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,56,4,1,1,7:19 PM,7:17,,,Mavericks Rebound,,,3,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0
0022400712,57,8,0,1,7:19 PM,7:17,,,SUB: Dinwiddie FOR Exum,,,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,5,203915,Spencer Dinwiddie,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0022400712,59,3,12,1,7:19 PM,7:17,,,Irving Free Throw 2 of 2 (3 PTS),9 - 12,3,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,60,5,45,1,7:20 PM,6:57,Embiid Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,,,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1,0,,,,,,1
0022400712,61,9,1,1,7:20 PM,6:57,76ERS Timeout: Regular (Full 1 Short 0),,,,,2,1610612755,,,,,,0,0,,,,,,0,0,,,,,,0
0022400712,62,8,0,1,7:22 PM,6:57,,,SUB: Christie FOR Thompson,,,5,202691,Klay Thompson,1610612742.0,Dallas,Mavericks,DAL,5,1631108,Max Christie,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0022400712,64,2,1,1,7:23 PM,6:44,,,MISS Edwards 3PT Jump Shot,,,5,1630556,Kessler Edwards,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1
0022400712,65,4,0,1,7:23 PM,6:44,Embiid REBOUND (Off:0 Def:1),,,,,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,0,0,,,,,,1
0022400712,66,6,1,1,7:23 PM,6:44,,,Edwards P.FOUL (P1.T3) (J.Tiven),,,5,1630556,Kessler Edwards,1610612742.0,Dallas,Mavericks,DAL,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,1,0,,,,,,1
0022400712,68,1,44,1,7:23 PM,6:33,Oubre Jr. 2' Reverse Layup (2 PTS) (Embiid 1 AST),,,9 - 14,5,4,1626162,Kelly Oubre Jr.,1610612755.0,Philadelphia,76ers,PHI,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,0,0,,,,,,1
0022400712,70,6,4,1,7:24 PM,6:17,,,Irving OFF.Foul (P1) (J.Tiven),,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,4,1627824,Guerschon Yabusele,1610612755.0,Philadelphia,76ers,PHI,1,0,,,,,,1
0022400712,72,5,37,1,7:24 PM,6:17,,,Irving Offensive Foul Turnover (P1.T3),,,5,202681,Kyrie Irving,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,1
0022400712,73,8,0,1,7:24 PM,6:17,,,SUB: Marshall FOR Edwards,,,5,1630556,Kessler Edwards,1610612742.0,Dallas,Mavericks,DAL,5,1630230,Naji Marshall,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0022400712,75,5,2,1,7:24 PM,6:05,Embiid Lost Ball Turnover (P2.T2),,Christie STEAL (1 STL),,,4,203954,Joel Embiid,1610612755.0,Philadelphia,76ers,PHI,5,1631108,Max Christie,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1
0022400712,77,6,2,1,7:24 PM,6:01,Maxey S.FOUL (P1.T3) (J.Tiven),,,,,4,1630178,Tyrese Maxey,1610612755.0,Philadelphia,76ers,PHI,5,1631108,Max Christie,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1
