GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0022400353,2,12,0,1,7:11 PM,12:00,,Start of 1st Period (7:11 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0022400353,4,10,0,1,7:11 PM,12:00,Jump Ball Valančiūnas vs. Jackson Jr.: Tip to Clarke,,,,,4,202685,Jonas Valančiūnas,1610612764.0,Washington,Wizards,WAS,5,1628991,Jaren Jackson Jr.,1610612763.0,Memphis,Grizzlies,MEM,5,1629634,Brandon Clarke,1610612763.0,Memphis,Grizzlies,MEM,1
0022400353,7,1,6,1,7:11 PM,11:39,,,Pippen Jr. 3' Driving Layup (2 PTS) (Clarke 1 AST),2 - 0,-2,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,5,1629634,Brandon Clarke,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,1
0022400353,9,1,75,1,7:12 PM,11:19,Coulibaly 3' Driving Finger Roll Layup (2 PTS),,,2 - 2,TIE,4,1641731,Bilal Coulibaly,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,11,2,78,1,7:12 PM,11:08,,,MISS Clarke 11' Floating Jump Shot,,,5,1629634,Brandon Clarke,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,12,4,0,1,7:12 PM,11:05,Champagnie REBOUND (Off:0 Def:1),,,,,4,1630551,Justin Champagnie,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,13,1,79,1,7:12 PM,10:59,Carrington 22' Pullup Jump Shot (2 PTS),,,2 - 4,2,4,1642267,Bub Carrington,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,14,2,1,1,7:12 PM,10:41,,,MISS Pippen Jr. 27' 3PT Jump Shot,,,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,15,4,0,1,7:12 PM,10:38,Carrington REBOUND (Off:0 Def:1),,,,,4,1642267,Bub Carrington,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,16,2,1,1,7:13 PM,10:20,MISS Valančiūnas 17' Jump Shot,,,,,4,202685,Jonas Valančiūnas,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,17,4,0,1,7:13 PM,10:17,,,Pippen Jr. REBOUND (Off:0 Def:1),,,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,18,1,103,1,7:13 PM,10:12,,,Jackson Jr. 27' 3PT Running Pull-Up Jump Shot (3 PTS),5 - 4,-1,5,1628991,Jaren Jackson Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,20,6,4,1,7:13 PM,10:09,Poole OFF.Foul (P1) (M.Myers),,,,,4,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,5,1642377,Jaylen Wells,1610612763.0,Memphis,Grizzlies,MEM,1,0,,,,,,1
0022400353,22,5,37,1,7:13 PM,10:09,Poole Offensive Foul Turnover (P1.T1),,,,,4,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,1,0,,,,,,1
0022400353,23,5,1,1,7:14 PM,10:02,Carrington STEAL (1 STL),,Smart Bad Pass Turnover (P1.T1),,,5,203935,Marcus Smart,1610612763.0,Memphis,Grizzlies,MEM,4,1642267,Bub Carrington,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,1
0022400353,25,2,58,1,7:14 PM,9:51,MISS Valančiūnas 4' Turnaround Hook Shot,,Jackson Jr. BLOCK (1 BLK),,,4,202685,Jonas Valančiūnas,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,5,1628991,Jaren Jackson Jr.,1610612763.0,Memphis,Grizzlies,MEM,1
0022400353,27,4,0,1,7:14 PM,9:50,,,Clarke REBOUND (Off:0 Def:1),,,5,1629634,Brandon Clarke,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,28,2,2,1,7:14 PM,9:44,,,MISS Jackson Jr. 26' 3PT Running Jump Shot,,,5,1628991,Jaren Jackson Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,29,4,0,1,7:14 PM,9:44,Valančiūnas REBOUND (Off:0 Def:1),,,,,4,202685,Jonas Valančiūnas,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,30,2,1,1,7:14 PM,9:25,MISS Coulibaly 25' 3PT Jump Shot,,,,,4,1641731,Bilal Coulibaly,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,31,4,0,1,7:15 PM,9:23,,,Pippen Jr. REBOUND (Off:0 Def:2),,,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,32,1,102,1,7:15 PM,9:19,,,Pippen Jr. 2' Driving Floating Bank Jump Shot (4 PTS),7 - 4,-3,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,33,6,2,1,7:15 PM,9:19,Carrington S.FOUL (P1.T1) (M.Myers),,,,,4,1642267,Bub Carrington,1610612764.0,Washington,Wizards,WAS,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,1,0,,,,,,1
0022400353,35,3,10,1,7:15 PM,9:19,,,MISS Pippen Jr. Free Throw 1 of 1,,,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,36,4,0,1,7:15 PM,9:17,Champagnie REBOUND (Off:0 Def:2),,,,,4,1630551,Justin Champagnie,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,37,2,5,1,7:15 PM,9:01,MISS Coulibaly 3' Layup,,Jackson Jr. BLOCK (2 BLK),,,4,1641731,Bilal Coulibaly,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,5,1628991,Jaren Jackson Jr.,1610612763.0,Memphis,Grizzlies,MEM,1
0022400353,39,4,0,1,7:15 PM,8:58,,,Smart REBOUND (Off:0 Def:1),,,5,203935,Marcus Smart,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,40,1,79,1,7:16 PM,8:49,,,Smart 7' Pullup Jump Shot (2 PTS) (Pippen Jr. 1 AST),9 - 4,-5,5,203935,Marcus Smart,1610612763.0,Memphis,Grizzlies,MEM,5,1630590,Scotty Pippen Jr.,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,1
0022400353,41,2,79,1,7:16 PM,8:37,MISS Poole 28' 3PT Pullup Jump Shot,,,,,4,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,42,4,0,1,7:16 PM,8:36,,,Smart REBOUND (Off:0 Def:2),,,5,203935,Marcus Smart,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,43,6,2,1,7:16 PM,8:34,Poole S.FOUL (P2.T2) (B.Barnaky),,,,,4,1629673,Jordan Poole,1610612764.0,Washington,Wizards,WAS,5,1642377,Jaylen Wells,1610612763.0,Memphis,Grizzlies,MEM,1,0,,,,,,1
0022400353,45,3,11,1,7:16 PM,8:34,,,Wells Free Throw 1 of 2 (1 PTS),10 - 4,-6,5,1642377,Jaylen Wells,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,46,3,12,1,7:17 PM,8:34,,,Wells Free Throw 2 of 2 (2 PTS),11 - 4,-7,5,1642377,Jaylen Wells,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,0,0,,,,,,1
0022400353,47,1,58,1,7:17 PM,8:21,Valančiūnas 6' Turnaround Hook Shot (2 PTS),,,11 - 6,-5,4,202685,Jonas Valančiūnas,1610612764.0,Washington,Wizards,WAS,0,0,,,,,,0,0,,,,,,1
0022400353,48,5,45,1,7:17 PM,8:14,,,Smart Out of Bounds - Bad Pass Turnover Turnover (P2.T2),,,5,203935,Marcus Smart,1610612763.0,Memphis,Grizzlies,MEM,0,0,,,,,,1,0,,,,,,1
